city,longitude,latitude,scientific_name,count
Albuquerque,-106.8,35.0,Others,5
Albuquerque,-106.7,35.0,Others,242
Albuquerque,-106.7,35.0,Fraxinus pennsylvanica,1
Albuquerque,-106.7,35.0,Gleditsia triacanthos,5
Albuquerque,-106.7,35.0,Platanus acerifolia,66
Albuquerque,-106.7,35.0,Tilia cordata,5
Albuquerque,-106.7,35.1,Others,659
Albuquerque,-106.7,35.1,Fraxinus pennsylvanica,6
Albuquerque,-106.7,35.1,Gleditsia triacanthos,66
Albuquerque,-106.7,35.1,Platanus acerifolia,22
Albuquerque,-106.7,35.1,Prunus,2
Albuquerque,-106.7,35.1,Pyrus calleryana,7
Albuquerque,-106.7,35.1,Tilia cordata,7
Albuquerque,-106.7,35.2,Others,92
Albuquerque,-106.7,35.2,Fraxinus pennsylvanica,1
Albuquerque,-106.7,35.2,Gleditsia triacanthos,11
Albuquerque,-106.7,35.2,Platanus acerifolia,22
Albuquerque,-106.7,35.2,Pyrus calleryana,1
Albuquerque,-106.6,35.1,Others,785
Albuquerque,-106.6,35.1,Acer platanoides,1
Albuquerque,-106.6,35.1,Fraxinus pennsylvanica,10
Albuquerque,-106.6,35.1,Gleditsia triacanthos,58
Albuquerque,-106.6,35.1,Platanus acerifolia,58
Albuquerque,-106.6,35.1,Prunus,5
Albuquerque,-106.6,35.1,Pyrus calleryana,3
Albuquerque,-106.6,35.1,Tilia cordata,10
Albuquerque,-106.6,35.2,Others,85
Albuquerque,-106.6,35.2,Fraxinus pennsylvanica,2
Albuquerque,-106.6,35.2,Gleditsia triacanthos,10
Albuquerque,-106.6,35.2,Platanus acerifolia,10
Albuquerque,-106.6,35.2,Prunus,10
Albuquerque,-106.5,35.1,Others,159
Albuquerque,-106.5,35.1,Gleditsia triacanthos,5
Albuquerque,-106.5,35.1,Platanus acerifolia,5
Albuquerque,-106.5,35.1,Prunus,3
Albuquerque,-106.5,35.1,Pyrus calleryana,2
Albuquerque,-106.5,35.1,Tilia cordata,6
Albuquerque,-106.5,35.2,Others,31
Albuquerque,-106.5,35.2,Gleditsia triacanthos,4
Albuquerque,-106.5,35.2,Platanus acerifolia,3
Anaheim,-118.0,33.8,Others,9414
Anaheim,-118.0,33.8,Acer rubrum,2
Anaheim,-118.0,33.8,Gleditsia triacanthos,6334
Anaheim,-118.0,33.8,Lagerstroemia indica,551
Anaheim,-118.0,33.8,Liquidambar styraciflua,126
Anaheim,-118.0,33.8,Platanus acerifolia,122
Anaheim,-118.0,33.8,Pyrus calleryana,12
Anaheim,-118.0,33.9,Others,510
Anaheim,-118.0,33.9,Gleditsia triacanthos,435
Anaheim,-118.0,33.9,Lagerstroemia indica,67
Anaheim,-118.0,33.9,Liquidambar styraciflua,32
Anaheim,-118.0,33.9,Platanus acerifolia,68
Anaheim,-118.0,33.9,Pyrus calleryana,76
Anaheim,-117.9,33.7,Lagerstroemia indica,1
Anaheim,-117.9,33.8,Others,23546
Anaheim,-117.9,33.8,Gleditsia triacanthos,11734
Anaheim,-117.9,33.8,Lagerstroemia indica,2063
Anaheim,-117.9,33.8,Liquidambar styraciflua,378
Anaheim,-117.9,33.8,Platanus acerifolia,526
Anaheim,-117.9,33.8,Pyrus calleryana,113
Anaheim,-117.9,33.8,Tilia cordata,3
Anaheim,-117.9,33.9,Others,2350
Anaheim,-117.9,33.9,Gleditsia triacanthos,1350
Anaheim,-117.9,33.9,Lagerstroemia indica,207
Anaheim,-117.9,33.9,Liquidambar styraciflua,111
Anaheim,-117.9,33.9,Platanus acerifolia,7
Anaheim,-117.8,33.8,Others,1542
Anaheim,-117.8,33.8,Gleditsia triacanthos,647
Anaheim,-117.8,33.8,Lagerstroemia indica,68
Anaheim,-117.8,33.8,Liquidambar styraciflua,368
Anaheim,-117.8,33.8,Platanus acerifolia,117
Anaheim,-117.8,33.8,Pyrus calleryana,1
Anaheim,-117.8,33.9,Others,5319
Anaheim,-117.8,33.9,Gleditsia triacanthos,1979
