city,longitude,latitude,count
Albuquerque,-106.8,35.0,5
Albuquerque,-106.7,35.0,319
Albuquerque,-106.7,35.1,769
Albuquerque,-106.7,35.2,127
Albuquerque,-106.6,35.1,930
Albuquerque,-106.6,35.2,117
Albuquerque,-106.5,35.1,180
Albuquerque,-106.5,35.2,38
Anaheim,-118.0,33.8,16561
Anaheim,-118.0,33.9,1188
Anaheim,-117.9,33.7,1
Anaheim,-117.9,33.8,38363
Anaheim,-117.9,33.9,4025
Anaheim,-117.8,33.8,2743
Anaheim,-117.8,33.9,8245
Anaheim,-117.7,33.8,314
Anaheim,-117.7,33.9,874
Arlington,-97.2,32.6,203
Arlington,-97.2,32.7,1728
Arlington,-97.2,32.8,2
Arlington,-97.1,32.6,1154
Arlington,-97.1,32.7,8821
Arlington,-97.1,32.8,2530
Arlington,-97.0,32.7,139
Arlington,-97.0,32.8,96
Atlanta,-84.6,33.8,1
Atlanta,-84.6,33.9,38
Atlanta,-84.6,34.0,39
Atlanta,-84.5,33.6,66
Atlanta,-84.5,33.7,1775
Atlanta,-84.5,33.8,1770
Atlanta,-84.5,33.9,5
Atlanta,-84.4,33.6,60
Atlanta,-84.4,33.7,12116
Atlanta,-84.4,33.8,14609
Atlanta,-84.4,33.9,567
Atlanta,-84.4,34.0,1
Atlanta,-84.3,33.5,1
Atlanta,-84.3,33.7,1573
Atlanta,-84.3,33.8,6619
Atlanta,-84.3,33.9,1564
Atlanta,-84.3,34.0,47
Atlanta,-84.2,33.7,19
Atlanta,-84.2,33.8,305
Aurora,-104.9,39.7,10481
Aurora,-104.9,39.8,668
Aurora,-104.8,39.6,6873
Aurora,-104.8,39.7,33229
Aurora,-104.8,39.8,2323
Aurora,-104.7,39.6,1339
Aurora,-104.7,39.7,706
Austin,-97.8,30.3,787
Austin,-97.7,30.3,5287
Baltimore,-76.7,39.3,20218
Baltimore,-76.7,39.4,5627
Baltimore,-76.6,39.2,3819
Baltimore,-76.6,39.3,74815
Baltimore,-76.6,39.4,11228
Baltimore,-76.5,39.2,98
Baltimore,-76.5,39.3,4325
Baltimore,-76.5,39.4,1149
Buffalo,-78.9,42.8,68
Buffalo,-78.9,42.9,37134
Buffalo,-78.9,43.0,4214
Buffalo,-78.8,42.8,6984
Buffalo,-78.8,42.9,25463
Buffalo,-78.8,43.0,2921
Cape Coral,-82.1,26.6,159
Cape Coral,-82.1,26.7,52
