source,target,value
33 USA states,North,1887197
33 USA states,West,2585751
33 USA states,South,742192
North,New York,793051
North,Minnesota,176834
North,District of Columbia,175847
North,Ohio,151350
North,Wisconsin,128072
North,Indiana,97227
West,California,1811594
West,Colorado,357765
West,Oregon,216751
South,Texas,268642
South,Florida,128032
South,Maryland,121290
New York,New York City,652169
New York City,Acer,88739
New York City,Quercus,82867
New York City,Fraxinus,19981
New York City,Platanus,87014
New York City,Gleditsia,64264
New York City,Lagerstroemia,442
New York City,Prunus,41653
New York City,Pyrus,58931
New York City,Tilia,51267
New York City,Ulmus,14915
New York City,Pinus,702
New York City,Liquidambar,10657
New York City,Magnolia,1000
New York City,Washingtonia,0
New York City,Celtis,2382
New York City,Malus,3527
New York City,Zelkova,29258
New York City,Eucalyptus,0
New York City,Ginkgo,21024
New York City,Ficus,0
New York,Buffalo,76953
Buffalo,Acer,25596
Buffalo,Quercus,3763
Buffalo,Fraxinus,1468
Buffalo,Platanus,2017
Buffalo,Gleditsia,4485
Buffalo,Lagerstroemia,0
Buffalo,Prunus,2164
Buffalo,Pyrus,1509
Buffalo,Tilia,11110
Buffalo,Ulmus,4013
Buffalo,Pinus,1040
Buffalo,Liquidambar,219
Buffalo,Magnolia,80
Buffalo,Washingtonia,0
Buffalo,Celtis,830
Buffalo,Malus,2806
Buffalo,Zelkova,722
Buffalo,Eucalyptus,0
Buffalo,Ginkgo,680
Buffalo,Ficus,0
Minnesota,Minneapolis,176834
Minneapolis,Acer,47055
Minneapolis,Quercus,8501
Minneapolis,Fraxinus,29432
Minneapolis,Platanus,13
Minneapolis,Gleditsia,12676
Minneapolis,Lagerstroemia,0
Minneapolis,Prunus,204
Minneapolis,Pyrus,315
Minneapolis,Tilia,26830
Minneapolis,Ulmus,20977
Minneapolis,Pinus,1175
Minneapolis,Liquidambar,0
Minneapolis,Magnolia,12
Minneapolis,Washingtonia,0
Minneapolis,Celtis,12736
Minneapolis,Malus,3215
Minneapolis,Zelkova,0
Minneapolis,Eucalyptus,0
Minneapolis,Ginkgo,3592
Minneapolis,Ficus,0
District of Columbia,Washington DC,175847
Washington DC,Acer,26489
Washington DC,Quercus,39917
Washington DC,Fraxinus,340
Washington DC,Platanus,7478
Washington DC,Gleditsia,2635
Washington DC,Lagerstroemia,4353
Washington DC,Prunus,11104
Washington DC,Pyrus,963
Washington DC,Tilia,5582
Washington DC,Ulmus,15656
Washington DC,Pinus,7748
Washington DC,Liquidambar,4185
Washington DC,Magnolia,2170
Washington DC,Washingtonia,0
Washington DC,Celtis,2549
Washington DC,Malus,1455
Washington DC,Zelkova,6366
Washington DC,Eucalyptus,0
Washington DC,Ginkgo,4743
Washington DC,Ficus,0
Ohio,Columbus,151350
Columbus,Acer,35911
