scientific_name,common_name,city,state,count,mean_h
Platanus acerifolia,London planetree,New York,New York,87014,
Gleditsia triacanthos,Honeylocust,New York,New York,64264,
Pyrus calleryana,Callery pear,New York,New York,58931,
Quercus palustris,Pin oak,New York,New York,53185,
Lagerstroemia indica,Crape myrtle,Houston,Texas,44320,
Quercus virginiana,Live oak,Houston,Texas,44059,
Washingtonia robusta,Mexican fan palm,Los Angeles,California,37971,
Lagerstroemia indica,Crape myrtle,Los Angeles,California,34729,
Acer platanoides,Norway maple,New York,New York,34189,
Magnolia grandiflora,Southern magnolia,Los Angeles,California,30988,
Lagerstroemia indica,Crape myrtle (including hybrids),New Orleans,Louisiana,30244,
Liquidambar styraciflua,American sweetgum,Los Angeles,California,30056,
Tilia cordata,Littleleaf linden,New York,New York,29742,
Prunus,Cherry,New York,New York,29279,
Zelkova serrata,Japanese zelkova,New York,New York,29258,
Ficus microcarpa,Indian laurel fig,Los Angeles,California,28681,
Fraxinus pennsylvanica,Green ash,Denver,Colorado,25736,
Gleditsia triacanthos,Honey locust,Denver,Colorado,23565,
Syagrus romanzoffianum,Queen palm,San Diego,California,22624,
Quercus virginiana,Southern live oak,New Orleans,Louisiana,21775,
Fraxinus pennsylvanica,Ashgreen,Sioux Falls,South Dakota,21052,143.15
Ginkgo biloba,Ginkgo,New York,New York,21024,
Acer platanoides,Norway maple,Madison,Wisconsin,20918,
Acer platanoides,Norway maple,Grand Rapids,Michigan,20426,
Styphnolobium japonicum,Sophora,New York,New York,19338,
Acer platanoides,Norway maple,Portland,Oregon,19209,
Platanus acerifolia,London plane,Los Angeles,California,17477,
Fraxinus pennsylvanica,Green ash,Madison,Wisconsin,17377,
Acer rubrum,Red maple,New York,New York,17246,
Quercus virginiana,Live oak,Orlando,Florida,17126,
Fraxinus pennsylvanica,Green ash,New York,New York,16251,
Cinnamomum camphora,Camphor tree,Los Angeles,California,15850,
Acer rubrum,Red maple,Portland,Oregon,15475,
Lagerstroemia indica,Common crapemyrtle,Orlando,Florida,14988,
Platanus acerifolia,London planetree,Sacramento,California,14111,
Cupressus sempervirens,Italian cypress,Los Angeles,California,14078,
Jacaranda acutifolia,Jacaranda,Los Angeles,California,13760,
Prunus,Cherry,Portland,Oregon,13683,
Cupaniopsis anacardioides,Carrot wood,San Diego,California,13608,
Tilia americana,American linden,New York,New York,13530,
Acer rubrum,Red maple,Overland Park,Kansas,13289,
Celtis occidentalis,Common hackberry,Houston,Texas,13010,
Tilia cordata,Littleleaf linden,Denver,Colorado,12961,
Acer rubrum,Red maple,Baltimore,Maryland,12895,90.396
Lagerstroemia indica,Crape myrtle,Rancho Cucamonga,California,12785,
Acer saccharinum,Silver maple,Denver,Colorado,12735,
Pinus,Pine,San Diego,California,12677,
Acer rubrum,Red maple,Washington DC,District of Columbia,12523,
Acer saccharinum,Silver maple,New York,New York,12277,
Eucalyptus,Eucalyptus,San Diego,California,12008,
Fraxinus americana,White ash,Denver,Colorado,11922,
Cupaniopsis anacardioides,Carrotwood,Los Angeles,California,11715,
Pyrus,Pear,Portland,Oregon,11700,
Pinus canariensis,Canary island pine,Los Angeles,California,11609,
Washingtonia robusta,Mexican fan palm,San Diego,California,11586,
Prunus,Plum,Portland,Oregon,11449,
Pistacia chinensis,Chinese pistache,Stockton,California,11392,
Platanus acerifolia,Sycamore london plane,San Francisco,California,11383,
Quercus nigra,Water oak,Houston,Texas,10783,
Arecastrum romanzoffianum,Queen palm,Los Angeles,California,10696,
Ulmus pumila,Siberian elm,Denver,Colorado,10671,
Liquidambar styraciflua,Sweetgum,New York,New York,10657,
Acer,Other maple,Portland,Oregon,10635,
Quercus laurifolia,Laurel oak,Orlando,Florida,10620,
Ceratonia siliqua,Carob,Los Angeles,California,10484,
